标题,参考价,京东价,京东链接,产品图片,产品参数,适用类型,CPU系列,CPU主频,最高睿频,三级缓存,插槽类型,核心数量,线程数,制作工艺,热设计功耗(TDP),动态加速频率,封装大小
AMD Ryzen 7 2700X,1399,,,https://2a.zol-img.com.cn/product/223_320x240/214/cegaSKYjLOn3A.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 7 2000
CPU主频：3.7GHz
动态加速频率：4.3GHz
三级缓存：16MB
插槽类型：Socket AM4
核心数量：八核心
线程数：十六线程",台式机,AMD Ryzen 7 2000,3.7GHz,,16MB,Socket AM4,八核心,十六线程,,,4.3GHz,
Intel 酷睿i5 9400,1399,519.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10078784143680.html,https://2d.zol-img.com.cn/product/221_320x240/41/ce15kz5CwmahY.jpg,"适用类型：台式机
CPU系列：酷睿i5 9代系列
CPU主频：2.9GHz
最高睿频：4.1GHz
三级缓存：9MB
插槽类型：LGA 1151
核心数量：六核心
线程数：六线程",台式机,酷睿i5 9代系列,2.9GHz,4.1GHz,9MB,LGA 1151,六核心,六线程,,,,
Intel 酷睿i5 10500,1449,748.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10088714480946.html,https://2f.zol-img.com.cn/product/223_320x240/213/ceArUyWcJFnvc.jpg,"适用类型：台式机
CPU系列：酷睿i5 10代系列
CPU主频：3.1GHz
最高睿频：4.5GHz
三级缓存：12MB
插槽类型：LGA 1200
核心数量：六核心
线程数：十二线程",台式机,酷睿i5 10代系列,3.1GHz,4.5GHz,12MB,LGA 1200,六核心,十二线程,,,,
Intel 酷睿 i5 12400,1480,1129.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10027670672823.html,https://2f.zol-img.com.cn/product/222_320x240/881/cekZ8J9cikhRs.jpg,"适用类型：台式机
CPU系列：酷睿i5 12代系列
CPU主频：2.5GHz
最高睿频：4.4GHz
三级缓存：18MB
插槽类型：LGA 1700
核心数量：六核心
线程数：十二线程",台式机,酷睿i5 12代系列,2.5GHz,4.4GHz,18MB,LGA 1700,六核心,十二线程,,,,
Intel 酷睿 i5 14490F,1499,1149.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10095256672226.html,https://2c.zol-img.com.cn/product/270_320x240/710/ce5p2z5dRWTKY.jpg,"适用类型：台式机
CPU系列：酷睿i5 14代系列
CPU主频：2.8GHz
最高睿频：4.9GHz
三级缓存：24MB
插槽类型：LGA 1700
核心数量：10核心
线程数：16线程",台式机,酷睿i5 14代系列,2.8GHz,4.9GHz,24MB,LGA 1700,10核心,16线程,,,,
AMD Ryzen 5 5600X,1510,599.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10025914155144.html,https://2c.zol-img.com.cn/product/220_320x240/748/ceAFZXHup6qN6.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 5 5000
CPU主频：3.7GHz
动态加速频率：4.6GHz
三级缓存：32MB
插槽类型：Socket AM4
核心数量：六核心
线程数：十二线程",台式机,AMD Ryzen 5 5000,3.7GHz,,32MB,Socket AM4,六核心,十二线程,,,4.6GHz,
AMD Ryzen 5 7600,1549,,,https://2b.zol-img.com.cn/product/222_320x240/907/ceQN5BYNJeC.png,"适用类型：台式机
CPU系列：AMD Ryzen 5 7000系列
CPU主频：3.8GHz
最高睿频：5.1GHz
三级缓存：32MB
插槽类型：Socket AM5
核心数量：六核心
线程数：十二线程",台式机,AMD Ryzen 5 7000系列,3.8GHz,5.1GHz,32MB,Socket AM5,六核心,十二线程,,,,
AMD Ryzen 5 5600G,1599,779.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100012989127.html,https://2c.zol-img.com.cn/product/221_320x240/642/cezY3xNEKD1I.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 5 5000
CPU主频：3.9GHz
动态加速频率：4.4GHz
三级缓存：16MB
插槽类型：Socket AM4
核心数量：六核心
线程数：十二线程",台式机,AMD Ryzen 5 5000,3.9GHz,,16MB,Socket AM4,六核心,十二线程,,,4.4GHz,
Intel 酷睿 i5 13490F,1599,799.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100044164608.html,https://2b.zol-img.com.cn/product/228_320x240/887/cekQovezuYY4U.jpg,"适用类型：台式机
CPU系列：酷睿i5 13代系列
CPU主频：2.5GHz
最高睿频：4.8GHz
三级缓存：24MB
封装大小：45×37.5mm
核心数量：10核心
线程数：16线程",台式机,酷睿i5 13代系列,2.5GHz,4.8GHz,24MB,,10核心,16线程,,,,45×37.5mm
Intel 酷睿i5 8500T,1599,,,https://2e.zol-img.com.cn/product/223_320x240/478/ceMd2PrZe1H6I.jpg,"适用类型：台式机
CPU系列：酷睿i5 8代系列
CPU主频：2.1GHz
最高睿频：3.5GHz
三级缓存：9MB
插槽类型：LGA 1151
核心数量：六核心
线程数：六线程",台式机,酷睿i5 8代系列,2.1GHz,3.5GHz,9MB,LGA 1151,六核心,六线程,,,,
Intel 酷睿i5 9600K,1649,,,https://2f.zol-img.com.cn/product/221_320x240/31/ceNs9xXmtQGIU.jpg,"适用类型：台式机
CPU系列：酷睿i5 9代系列
CPU主频：3.7GHz
最高睿频：4.6GHz
三级缓存：9MB
插槽类型：LGA 1151
核心数量：六核心
线程数：六线程",台式机,酷睿i5 9代系列,3.7GHz,4.6GHz,9MB,LGA 1151,六核心,六线程,,,,
Intel 酷睿i5 8400,1689,339.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10098278509304.html,https://2e.zol-img.com.cn/product/223_320x240/472/ceYFxSK7YxZuo.jpg,"适用类型：台式机
CPU系列：酷睿i5 8代系列
CPU主频：2.8GHz
最高睿频：4GHz
三级缓存：9MB
插槽类型：LGA 1151
核心数量：六核心
线程数：六线程",台式机,酷睿i5 8代系列,2.8GHz,4GHz,9MB,LGA 1151,六核心,六线程,,,,
Intel 酷睿i5 11600KF,1699,,,https://2c.zol-img.com.cn/product/222_320x240/378/ceo5IfakBcjPs.jpg,"适用类型：台式机
CPU系列：酷睿i5 11代系列
CPU主频：3.9GHz
最高睿频：4.9GHz
三级缓存：12MB
插槽类型：LGA 1200
核心数量：六核心
线程数：十二线程",台式机,酷睿i5 11代系列,3.9GHz,4.9GHz,12MB,LGA 1200,六核心,十二线程,,,,
Intel 酷睿 i5 13400F,1699,969.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10067764738503.html,https://2f.zol-img.com.cn/product/226_320x240/861/cerkIgTYOOXmo.jpg,"CPU系列：酷睿i5 13代系列
适用类型：暂无数据
CPU主频：2.5GHz
最高睿频：4.6GHz
三级缓存：20MB
插槽类型：LGA 1700
核心数量：十核心
线程数：十六线程",暂无数据,酷睿i5 13代系列,2.5GHz,4.6GHz,20MB,LGA 1700,十核心,十六线程,,,,
AMD Ryzen 7 3700X,1729,,,https://2d.zol-img.com.cn/product/223_320x240/205/cee59kljCmXI.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 7 3000
CPU主频：3.6GHz
动态加速频率：4.4GHz
三级缓存：32MB
插槽类型：Socket AM4
核心数量：八核心
线程数：十六线程",台式机,AMD Ryzen 7 3000,3.6GHz,,32MB,Socket AM4,八核心,十六线程,,,4.4GHz,
AMD Ryzen 5 3600X,1749,498.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10059782083351.html,https://2b.zol-img.com.cn/product/222_320x240/293/ceb9yEqpf8rTA.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 5 3600x
CPU主频：3.8GHz
动态加速频率：4.4GHz
三级缓存：32MB
插槽类型：Socket AM4
核心数量：六核心
线程数：十二线程",台式机,AMD Ryzen 5 3600x,3.8GHz,,32MB,Socket AM4,六核心,十二线程,,,4.4GHz,
Intel 酷睿i5 11500,1799,,,https://2f.zol-img.com.cn/product/221_320x240/113/ceKcGuJhokfOU.jpg,"适用类型：台式机
CPU系列：酷睿i5 11代系列
CPU主频：2.7GHz
最高睿频：4.6GHz
三级缓存：12MB
插槽类型：LGA 1200
核心数量：六核心
线程数：十二线程",台式机,酷睿i5 11代系列,2.7GHz,4.6GHz,12MB,LGA 1200,六核心,十二线程,,,,
Intel 酷睿 i5 13400,1799,999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10069496172346.html,https://2d.zol-img.com.cn/product/226_320x240/859/ceTVLKpXS9uI.png,"适用类型：台式机
CPU系列：酷睿i5 13代系列
CPU主频：2.5GHz
最高睿频：4.6GHz
三级缓存：20MB
插槽类型：LGA 1700
核心数量：十核心
线程数：十六线程",台式机,酷睿i5 13代系列,2.5GHz,4.6GHz,20MB,LGA 1700,十核心,十六线程,,,,
Intel 酷睿 i5 12600KF,1830,979.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10069968603299.html,https://2e.zol-img.com.cn/product/222_320x240/880/cei20SM6YrSw.jpg,"适用类型：台式机
CPU系列：酷睿i5 12代系列
CPU主频：3.7GHz
动态加速频率：4.9GHz
三级缓存：20MB
插槽类型：LGA 1700
核心数量：十核心
线程数：十六线程",台式机,酷睿i5 12代系列,3.7GHz,,20MB,LGA 1700,十核心,十六线程,,,4.9GHz,
Intel 酷睿i5 9500,1849,,,https://2a.zol-img.com.cn/product/221_320x240/32/ceWnVA9sOqh2o.jpg,"适用类型：台式机
CPU系列：酷睿i5 9代系列
CPU主频：3GHz
最高睿频：4.4GHz
三级缓存：9MB
封装大小：37.5×37.5mm
核心数量：六核心
线程数：六线程",台式机,酷睿i5 9代系列,3GHz,4.4GHz,9MB,,六核心,六线程,,,,37.5×37.5mm
Intel 酷睿i5 10600K,1849,,,https://2d.zol-img.com.cn/product/223_320x240/217/ceQISKIC9D15Q.jpg,"适用类型：台式机
CPU系列：酷睿i5 10代系列
CPU主频：4.1GHz
最高睿频：4.8GHz
三级缓存：12MB
插槽类型：LGA 1200
核心数量：六核心
线程数：十二线程",台式机,酷睿i5 10代系列,4.1GHz,4.8GHz,12MB,LGA 1200,六核心,十二线程,,,,
AMD Ryzen 5 3600XT,1859,,,https://2d.zol-img.com.cn/product/222_320x240/309/cenkhbYv9Updg.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 5 3000
CPU主频：3.8GHz
动态加速频率：4.5GHz
三级缓存：32MB
插槽类型：Socket AM4
核心数量：六核心
线程数：十二线程",台式机,AMD Ryzen 5 3000,3.8GHz,,32MB,Socket AM4,六核心,十二线程,,,4.5GHz,
Intel 酷睿i7 10700F,1890,,,https://2a.zol-img.com.cn/product/221_320x240/418/ceS05ebW7J8s.jpg,"适用类型：台式机
CPU系列：酷睿i7 10代系列
CPU主频：2.9GHz
最高睿频：4.8GHz
三级缓存：16MB
插槽类型：LGA 1200
核心数量：八核心
线程数：十六线程",台式机,酷睿i7 10代系列,2.9GHz,4.8GHz,16MB,LGA 1200,八核心,十六线程,,,,
AMD Ryzen 7 7700,1899,969.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10067918803367.html,https://2d.zol-img.com.cn/product/222_320x240/425/cenfQOHuCZi0k.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 7 7000系列
CPU主频：3.8GHz
最高睿频：5.3GHz
三级缓存：32MB
插槽类型：Socket AM5
核心数量：八核心
线程数：十六线程",台式机,AMD Ryzen 7 7000系列,3.8GHz,5.3GHz,32MB,Socket AM5,八核心,十六线程,,,,
Intel 酷睿 i5 12600K,1930,1449.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10039470575696.html,https://2a.zol-img.com.cn/product/220_320x240/558/ce1rWBDSKXtCA.jpg,"适用类型：台式机
CPU系列：酷睿i5 12代系列
CPU主频：3.7GHz
动态加速频率：4.9GHz
三级缓存：20MB
插槽类型：LGA 1700
核心数量：十核心
线程数：十六线程",台式机,酷睿i5 12代系列,3.7GHz,,20MB,LGA 1700,十核心,十六线程,,,4.9GHz,
Intel 酷睿i5 11600K,1949,,,https://2d.zol-img.com.cn/product/221_320x240/111/ceD9wuDuBU2B2.jpg,"适用类型：台式机
CPU系列：酷睿i5 11代系列
CPU主频：3.9GHz
最高睿频：4.9GHz
三级缓存：12MB
插槽类型：LGA 1200
核心数量：六核心
线程数：十二线程",台式机,酷睿i5 11代系列,3.9GHz,4.9GHz,12MB,LGA 1200,六核心,十二线程,,,,
Intel 酷睿i5 7500,1999,,,https://2d.zol-img.com.cn/product/263_320x240/123/ce6f5ulJPQlPI.jpg,"适用类型：台式机
CPU系列：酷睿i5 7代系列
CPU主频：3.4GHz
最高睿频：3.4GHz
三级缓存：6MB
插槽类型：LGA 1151
核心数量：四核心
线程数：四线程",台式机,酷睿i5 7代系列,3.4GHz,3.4GHz,6MB,LGA 1151,四核心,四线程,,,,
Intel 酷睿i5 8600K,1999,,,https://2c.zol-img.com.cn/product/223_320x240/488/cezPVmq5cVjc.jpg,"适用类型：台式机
CPU系列：酷睿i5 8代系列
CPU主频：3.6GHz
最高睿频：4.3GHz
三级缓存：9MB
插槽类型：LGA 1151
核心数量：六核心
线程数：六线程",台式机,酷睿i5 8代系列,3.6GHz,4.3GHz,9MB,LGA 1151,六核心,六线程,,,,
AMD Ryzen 7 5700X,1999,769.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10031649164790.html,https://2c.zol-img.com.cn/product/220_320x240/518/ceYeEovrKN9bQ.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 7 5000
CPU主频：3.4GHz
动态加速频率：4.6GHz
插槽类型：Socket AM4
三级缓存：暂无数据
核心数量：八核心
线程数：十六线程",台式机,AMD Ryzen 7 5000,3.4GHz,,暂无数据,Socket AM4,八核心,十六线程,,,4.6GHz,
Intel 酷睿i5 11600,2000,,,https://2d.zol-img.com.cn/product/221_320x240/105/ceURVGRxM8BSg.jpg,"适用类型：台式机
CPU系列：酷睿i5 11代系列
CPU主频：2.8GHz
最高睿频：4.8GHz
三级缓存：12MB
插槽类型：LGA 1200
核心数量：六核心
线程数：十二线程",台式机,酷睿i5 11代系列,2.8GHz,4.8GHz,12MB,LGA 1200,六核心,十二线程,,,,
Intel Xeon E 2224,2080,,,https://2f.zol-img.com.cn/product/221_320x240/941/ceD5BFTvTABSA.jpg,"适用类型：企业级（服务器）
CPU系列：Xeon E系列
CPU主频：3.4GHz
最高睿频：4.6GHz
三级缓存：8MB
插槽类型：LGA 1151
核心数量：四核心
线程数：四线程",企业级（服务器）,Xeon E系列,3.4GHz,4.6GHz,8MB,LGA 1151,四核心,四线程,,,,
AMD Ryzen 7 PRO 4750G,2099,,,https://2a.zol-img.com.cn/product/223_320x240/484/ceD1n2NxoeYQ.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 7 4000
CPU主频：3.6GHz
动态加速频率：4.4GHz
三级缓存：8MB
插槽类型：Socket AM4
核心数量：八核心
线程数：十六线程",台式机,AMD Ryzen 7 4000,3.6GHz,,8MB,Socket AM4,八核心,十六线程,,,4.4GHz,
Intel 酷睿i5 8600,2099,,,https://2a.zol-img.com.cn/product/223_320x240/474/cehMgDrDn022.jpg,"适用类型：台式机
CPU系列：酷睿i5 8代系列
CPU主频：3.1GHz
最高睿频：4.3GHz
三级缓存：9MB
插槽类型：LGA 1151
核心数量：六核心
线程数：六线程",台式机,酷睿i5 8代系列,3.1GHz,4.3GHz,9MB,LGA 1151,六核心,六线程,,,,
Intel 酷睿i7 10700K 复仇者联盟珍藏版,2150,,,https://2f.zol-img.com.cn/product/221_320x240/417/cecgwDzcbsaEI.jpg,"适用类型：台式机
CPU系列：酷睿i7 10代系列
CPU主频：3.8GHz
最高睿频：5.1GHz
三级缓存：16MB
插槽类型：LGA 1200
核心数量：八核心
线程数：十六线程",台式机,酷睿i7 10代系列,3.8GHz,5.1GHz,16MB,LGA 1200,八核心,十六线程,,,,
Intel 酷睿i7 9700KF,2169,,,https://2d.zol-img.com.cn/product/221_320x240/385/ceiG6AXzWYeb6.jpg,"适用类型：台式机
CPU系列：酷睿i7 9代系列
CPU主频：3.6GHz
最高睿频：4.9GHz
三级缓存：12MB
插槽类型：LGA 1151
核心数量：八核心
线程数：八线程",台式机,酷睿i7 9代系列,3.6GHz,4.9GHz,12MB,LGA 1151,八核心,八线程,,,,
Intel 酷睿i7 10700KF,2199,,,https://2e.zol-img.com.cn/product/221_320x240/404/ceeCusz466YBE.jpg,"适用类型：台式机
CPU系列：酷睿i7 10代系列
CPU主频：3.8GHz
最高睿频：5.1GHz
三级缓存：16MB
插槽类型：LGA 1200
核心数量：八核心
线程数：十六线程",台式机,酷睿i7 10代系列,3.8GHz,5.1GHz,16MB,LGA 1200,八核心,十六线程,,,,
Intel 酷睿i7 10700,2230,2919.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10059493317750.html,https://2d.zol-img.com.cn/product/221_320x240/403/ceYENiTqLVoMI.jpg,"适用类型：台式机
CPU系列：酷睿i7 10代系列
CPU主频：2.9GHz
最高睿频：4.8GHz
三级缓存：16MB
插槽类型：LGA 1200
核心数量：八核心
线程数：十六线程",台式机,酷睿i7 10代系列,2.9GHz,4.8GHz,16MB,LGA 1200,八核心,十六线程,,,,
AMD Ryzen 5 7600X,2249,1199.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10061663129295.html,https://2b.zol-img.com.cn/product/222_320x240/907/ceQN5BYNJeC.png,"适用类型：台式机
CPU系列：AMD Ryzen 5 7000系列
CPU主频：4.7GHz
最高睿频：5.3GHz
三级缓存：32MB
插槽类型：暂无数据
核心数量：六核心
线程数：十二线程",台式机,AMD Ryzen 5 7000系列,4.7GHz,5.3GHz,32MB,暂无数据,六核心,十二线程,,,,
Intel 酷睿 i7 12700F,2280,1999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10043956009000.html,https://2f.zol-img.com.cn/product/220_320x240/193/cePHmiQQprR0E.jpg,"适用类型：台式机
CPU系列：酷睿i7 12代系列
CPU主频：2.1GHz
最高睿频：4.9GHz
三级缓存：25MB
插槽类型：LGA 1700
核心数量：十二核心
线程数：二十线程",台式机,酷睿i7 12代系列,2.1GHz,4.9GHz,25MB,LGA 1700,十二核心,二十线程,,,,
Intel 酷睿 Ultra 5 245KF,2299,1999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100120799081.html,https://2c.zol-img.com.cn/product/270_320x240/956/ce9DTWcmdK6Y.jpg,"适用类型：台式机
CPU系列：酷睿 Ultra 5 200系列
最高睿频：5.2GHz
CPU主频：暂无数据
三级缓存：24MB
插槽类型：LGA 1851
核心数量：14核心
线程数：14线程",台式机,酷睿 Ultra 5 200系列,暂无数据,5.2GHz,24MB,LGA 1851,14核心,14线程,,,,
Intel 酷睿i7 11700,2300,,,https://2a.zol-img.com.cn/product/221_320x240/152/ce8PHKwpHU9A.jpg,"适用类型：台式机
CPU系列：酷睿i7 11代系列
CPU主频：2.5GHz
最高睿频：4.9GHz
三级缓存：16MB
插槽类型：LGA 1200
核心数量：八核心
线程数：十六线程",台式机,酷睿i7 11代系列,2.5GHz,4.9GHz,16MB,LGA 1200,八核心,十六线程,,,,
Intel 酷睿i7 11700F,2349,,,https://2f.zol-img.com.cn/product/221_320x240/157/ceCm3DfDob0EE.jpg,"适用类型：台式机
CPU系列：酷睿i7 11代系列
CPU主频：2.5GHz
最高睿频：4.9GHz
三级缓存：16MB
插槽类型：LGA 1200
核心数量：八核心
线程数：十六线程",台式机,酷睿i7 11代系列,2.5GHz,4.9GHz,16MB,LGA 1200,八核心,十六线程,,,,
Intel Xeon E 2224G,2380,2954.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10029779267702.html,https://2f.zol-img.com.cn/product/198_320x240/83/cetu4HimxeCiY.jpg,"适用类型：企业级（服务器）
CPU系列：Xeon E系列
CPU主频：3.5GHz
最高睿频：4.7GHz
三级缓存：8MB
插槽类型：LGA 1151
核心数量：四核心
线程数：四线程",企业级（服务器）,Xeon E系列,3.5GHz,4.7GHz,8MB,LGA 1151,四核心,四线程,,,,
Intel 酷睿i7 9700F,2399,789.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10097345058613.html,https://2e.zol-img.com.cn/product/221_320x240/386/ceQgNDKZ4Ypx2.jpg,"适用类型：台式机
CPU系列：酷睿i7 9代系列
CPU主频：3GHz
最高睿频：4.7GHz
三级缓存：12MB
插槽类型：LGA 1151
核心数量：八核心
线程数：八线程",台式机,酷睿i7 9代系列,3GHz,4.7GHz,12MB,LGA 1151,八核心,八线程,,,,
Intel 酷睿i9 9900KF,2399,,,https://2c.zol-img.com.cn/product/223_320x240/500/cehght1i8XcAM.jpg,"适用类型：台式机
CPU系列：酷睿i9 9代系列
CPU主频：3.6GHz
最高睿频：5GHz
三级缓存：16MB
插槽类型：LGA 1151
核心数量：八核心
线程数：十六线程",台式机,酷睿i9 9代系列,3.6GHz,5GHz,16MB,LGA 1151,八核心,十六线程,,,,
Intel 酷睿i7 11700K,2430,,,https://2d.zol-img.com.cn/product/220_320x240/443/ce52yIx5vifc.jpg,"适用类型：台式机
CPU系列：酷睿i7 11代系列
CPU主频：3.6GHz
最高睿频：5GHz
三级缓存：16MB
插槽类型：LGA 1200
核心数量：八核心
线程数：十六线程",台式机,酷睿i7 11代系列,3.6GHz,5GHz,16MB,LGA 1200,八核心,十六线程,,,,
Intel 酷睿 i7 12700,2430,2099.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10027814686087.html,https://2c.zol-img.com.cn/product/219_320x240/88/cepwttZzfuICo.jpg,"适用类型：台式机
CPU系列：酷睿i7 12代系列
CPU主频：2.1GHz
最高睿频：4.9GHz
三级缓存：25MB
插槽类型：LGA 1700
核心数量：十二核心
线程数：二十线程",台式机,酷睿i7 12代系列,2.1GHz,4.9GHz,25MB,LGA 1700,十二核心,二十线程,,,,
Intel 酷睿i7 8086K（限量版）,2439,,,https://2a.zol-img.com.cn/product/223_320x240/270/ceS3Nk9hplDTM.jpg,"适用类型：台式机
CPU系列：酷睿i7 8代系列
CPU主频：4GHz
最高睿频：5GHz
三级缓存：12MB
插槽类型：LGA 1151
核心数量：六核心
线程数：十二线程",台式机,酷睿i7 8代系列,4GHz,5GHz,12MB,LGA 1151,六核心,十二线程,,,,
AMD Ryzen 7 5800X,2480,1249.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10063914228583.html,https://2f.zol-img.com.cn/product/220_320x240/533/cetp7kI80bd.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 7 5000
CPU主频：3.8GHz
动态加速频率：4.7GHz
三级缓存：32MB
插槽类型：Socket AM4
核心数量：八核心
线程数：十六线程",台式机,AMD Ryzen 7 5000,3.8GHz,,32MB,Socket AM4,八核心,十六线程,,,4.7GHz,
Intel 酷睿i7 9700K,2499,998.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10066427749135.html,https://2d.zol-img.com.cn/product/221_320x240/409/cenwuvoEdG5VE.jpg,"适用类型：台式机
CPU系列：酷睿i7 9代系列
CPU主频：3.6GHz
最高睿频：4.9GHz
三级缓存：12MB
插槽类型：LGA 1151
核心数量：八核心
线程数：八线程",台式机,酷睿i7 9代系列,3.6GHz,4.9GHz,12MB,LGA 1151,八核心,八线程,,,,
Intel 酷睿 i5 14600KF,2499,1363.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10089456109585.html,https://2e.zol-img.com.cn/product/254_320x240/380/ceLe549gUtplc.jpg,"适用类型：台式机
CPU系列：酷睿i5 14代系列
最高睿频：5.3GHz
CPU主频：暂无数据
三级缓存：24MB
插槽类型：LGA 1700
核心数量：14核心
线程数：20线程",台式机,酷睿i5 14代系列,暂无数据,5.3GHz,24MB,LGA 1700,14核心,20线程,,,,
Intel 酷睿 Ultra 5 245K,2499,1999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100145512964.html,https://2c.zol-img.com.cn/product/270_320x240/956/ce9DTWcmdK6Y.jpg,"适用类型：台式机
CPU系列：酷睿 Ultra 5 200系列
最高睿频：5.2GHz
CPU主频：暂无数据
三级缓存：24MB
插槽类型：LGA 1851
核心数量：14核心
线程数：14线程",台式机,酷睿 Ultra 5 200系列,暂无数据,5.2GHz,24MB,LGA 1851,14核心,14线程,,,,
AMD Ryzen 7 5700G,2599,959.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100012989117.html,https://2d.zol-img.com.cn/product/220_320x240/525/ceD8b2pGg3XeI.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 7 5000
CPU主频：3.8GHz
动态加速频率：4.6GHz
三级缓存：16MB
插槽类型：暂无数据
核心数量：八核心
线程数：十六线程",台式机,AMD Ryzen 7 5000,3.8GHz,,16MB,暂无数据,八核心,十六线程,,,4.6GHz,
Intel 酷睿i7 9700,2599,869.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10095196932150.html,https://2b.zol-img.com.cn/product/221_320x240/377/cekZmEeDovOk.jpg,"适用类型：台式机
CPU系列：酷睿i7 9代系列
CPU主频：3GHz
最高睿频：4.7GHz
三级缓存：12MB
插槽类型：LGA 1151
核心数量：八核心
线程数：八线程",台式机,酷睿i7 9代系列,3GHz,4.7GHz,12MB,LGA 1151,八核心,八线程,,,,
Intel 酷睿 i5 14600K,2599,1699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10087603489123.html,https://2e.zol-img.com.cn/product/254_320x240/380/ceLe549gUtplc.jpg,"适用类型：台式机
CPU系列：酷睿i5 14代系列
最高睿频：5.3GHz
CPU主频：暂无数据
三级缓存：24MB
插槽类型：LGA 1700
核心数量：14核心
线程数：20线程",台式机,酷睿i5 14代系列,暂无数据,5.3GHz,24MB,LGA 1700,14核心,20线程,,,,
Intel 酷睿 i5 13600K,2599,1649.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10061565047906.html,https://2d.zol-img.com.cn/product/222_320x240/237/ce0AQB5rXJrsI.jpg,"适用类型：台式机
CPU系列：酷睿i5 13代系列
CPU主频：3.5GHz
最高睿频：5.1GHz
三级缓存：24MB
插槽类型：LGA 1700
核心数量：十四核心
线程数：二十线程",台式机,酷睿i5 13代系列,3.5GHz,5.1GHz,24MB,LGA 1700,十四核心,二十线程,,,,
AMD Ryzen 7 3800X,2599,,,https://2d.zol-img.com.cn/product/223_320x240/247/ceQlNEjMmQEZI.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 7 3000
CPU主频：3.9GHz
动态加速频率：4.5GHz
三级缓存：32MB
插槽类型：Socket AM4
核心数量：八核心
线程数：十六线程",台式机,AMD Ryzen 7 3000,3.9GHz,,32MB,Socket AM4,八核心,十六线程,,,4.5GHz,
