标题,参考价,京东价,京东链接,产品图片,产品参数
金达游戏引擎 S3 300,99,,,https://2d.zol-img.com.cn/product/200_320x240/831/ceff8dYJVmJo.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：被动式
转换效率：暂无数据"
GAMEMAX（游戏帝国）250W-SFX白（重复）,99,,,https://2b.zol-img.com.cn/product/253_320x240/707/cevDlclHDPSoA.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：250W
最大功率：暂无数据
主板接口：24pin
硬盘接口：3个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
利民GF A3 850W,99,,,https://2b.zol-img.com.cn/product/253_320x240/231/ceK9oLEtUMK3.jpg,"电源类型：台式机电源
出线类型：全模组电源
额定功率：850W
最大功率：暂无数据
主板接口：24pin
硬盘接口：2个
PFC类型：主动式
转换效率：暂无数据"
大水牛劲强300,99,104.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/176950.html,https://2b.zol-img.com.cn/product/214_320x240/229/ceNE7lEmP7lwA.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：主动式
转换效率：70％"
长城ATX-3002,99,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10092410113377.html,https://2c.zol-img.com.cn/product/259_320x240/28/ceZCyeRsAJLE.jpg,"电源类型：标准电源（atx）
出线类型：非模组化
额定功率：220W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：暂无数据
PFC类型：暂无数据
转换效率：暂无数据"
爱国者魔兽300,99,,,https://2f.zol-img.com.cn/product/190_320x240/973/ceyKosfzmmFKQ.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：220W
最大功率：370W
主板接口：20+4pin
硬盘接口：3个
PFC类型：暂无数据
转换效率：暂无数据"
长城GW-ATX200JD,99,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100005409154.html,https://2e.zol-img.com.cn/product/199_320x240/554/ceOCfxjDW7dyw.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：200W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：被动式
转换效率：80%"
大水牛GX480,99,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10139359355302.html,https://2a.zol-img.com.cn/product/271_320x240/156/ceTzhdDhYXqUg.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：300W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：被动式
转换效率：暂无数据"
金河田战龙RX490,99,,,https://2b.zol-img.com.cn/product/192_320x240/37/ceqNWICPitDI.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：330W
最大功率：400W
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式
转换效率：85%"
半岛铁盒战狼T350,100,,,https://2b.zol-img.com.cn/product/208_320x240/23/ceq506UmNPgk.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：250W
最大功率：350W
主板接口：20+4pin
硬盘接口：4个
PFC类型：被动式
转换效率：暂无数据"
