标题,参考价,京东价,京东链接,产品图片,产品参数
ANTEC BP450PS PRO,289,,,https://2d.zol-img.com.cn/product/190_320x240/541/ce4usgGrnnrdI.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：450W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式
转换效率：最高85%以上"
全汉蓝暴炫动Ⅱ 480W,289,,,https://2a.zol-img.com.cn/product/175_320x240/766/ce2ORVuxBx1Rc.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：480W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式
转换效率：82%+"
先马逾辉 雪妖v7,289,179.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10093679135524.html,https://2a.zol-img.com.cn/product/252_320x240/862/ceQRqH4r5h8Hs.png,"电源类型：台式机电源
出线类型：全模组电源
额定功率：750W
最大功率：750W
主板接口：20+4pin
硬盘接口：暂无数据
PFC类型：主动式
转换效率：暂无数据"
长城PRIME500,289,,,https://2c.zol-img.com.cn/product/252_320x240/620/cef57I60ym7K.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：5个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
超频三七防芯CX650,289,289.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10045896416466.html,https://2f.zol-img.com.cn/product/252_320x240/863/ceyQLOcqF8z.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：650W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式
转换效率：暂无数据"
酷冷至尊雷霆500,289,,,https://2b.zol-img.com.cn/product/211_320x240/251/cecJoxWQ8lgDk.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：主动式
转换效率：＞87%"
航嘉JUMPER550B,289,,,https://2c.zol-img.com.cn/product/207_320x240/750/ceRgRK140Rpgg.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：550W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
长城GW-500ZG,289,,,https://2f.zol-img.com.cn/product/199_320x240/435/cecajNQqYGkk6.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：400W
最大功率：暂无数据
主板接口：24pin
硬盘接口：3个
PFC类型：主动式
转换效率：80%"
技嘉GP-P550SS,289,289.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100000668178.html,https://2a.zol-img.com.cn/product/271_320x240/286/cej0bRj5qzZA.jpg,"出线类型：非模组化
电源类型：暂无数据
额定功率：550W
最大功率：暂无数据
主板接口：24pin
硬盘接口：5个
PFC类型：主动式
转换效率：90%"
九州风神PM500D,289,,,https://2d.zol-img.com.cn/product/253_320x240/811/ceDBdlZLyUQrQ.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
台达科技SART300II,289,259.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10051745021096.html,https://2b.zol-img.com.cn/product/253_320x240/349/ce9p2orUS87Ak.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：300W
最大功率：暂无数据
主板接口：24pin
硬盘接口：5个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
GAMEMAX VP-600,289,,,https://2f.zol-img.com.cn/product/219_320x240/979/ceulmTcgzVo.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：暂无数据
最大功率：暂无数据
主板接口：24pin
硬盘接口：5个
PFC类型：主动式
转换效率：85%"
GAMEMAX GM-500,289,,,https://2d.zol-img.com.cn/product/219_320x240/291/cejiU5cq3dBoo.jpg,"电源类型：台式机电源
出线类型：半模组电源
额定功率：暂无数据
最大功率：暂无数据
主板接口：24pin
硬盘接口：5个
PFC类型：主动式
转换效率：85%"
拓普龙3c认证 enp-7015b (150w）,290,290.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/46814629409.html,https://2f.zol-img.com.cn/product/229_320x240/723/ceosH2CXgF7A.jpg,"电源类型：小型电源（sfx-l）
出线类型：非模组化
额定功率：300W
最大功率：暂无数据
主板接口：20+4 pin
硬盘接口：暂无数据
转换效率：其他
PFC类型：暂无数据"
先马雪妖600M,295,295.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10082302570172.html,https://2a.zol-img.com.cn/product/253_320x240/456/ceo2C0JSMxbzc.jpg,"电源类型：atx 电源
出线类型：全模组电源
额定功率：600W
最大功率：600W
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式
转换效率：暂无数据"
大水牛船长RM600,295,,,https://2f.zol-img.com.cn/product/199_320x240/233/cedOB7FD2qQpE.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：主动式（功率因数为0.98）
转换效率：72%"
微星MAG 500BN,299,,,https://2f.zol-img.com.cn/product/211_320x240/725/cep1kN0gAYmQ.jpg,"电源类型：台式机电源
出线类型：模组电源
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：8个
PFC类型：主动式
转换效率：85%"
技嘉GP-P450B,299,,,https://2f.zol-img.com.cn/product/211_320x240/971/cebKYa392ZXQw.jpg,"电源类型：台式机电源
出线类型：模组电源
额定功率：450W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：6个
PFC类型：主动式
转换效率：85%"
影驰游戏高手GM500,299,,,https://2e.zol-img.com.cn/product/206_320x240/116/ceAaWIfrA61M.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：500W
最大功率：650W
硬盘接口：4个
主板接口：暂无数据
PFC类型：主动式
转换效率：80％"
鑫谷AM650W,299,319.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10083365915363.html,https://2d.zol-img.com.cn/product/253_320x240/733/ceIP1RSepiOE.jpg,"电源类型：台式机电源
出线类型：全模组电源
额定功率：暂无数据
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：暂无数据
PFC类型：主动式（功率因数为0.98）
转换效率：80%"
游戏悍将GX750,299,,,https://2c.zol-img.com.cn/product/253_320x240/712/ce2Dj7Zmo88N.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：750W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
大水牛GPN750,299,179.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10059201594434.html,https://2a.zol-img.com.cn/product/253_320x240/36/cehSapD7eJpls.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：550W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
安钛克BP 500W,299,249.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10045381677443.html,https://2b.zol-img.com.cn/product/253_320x240/535/ceKFk6j4jZ9wE.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：6个
PFC类型：主动式
转换效率：暂无数据"
美商海盗船vs550 vs500 额定500w,299,,,https://2c.zol-img.com.cn/product/229_320x240/994/ce8punrHcKKDw.jpg,"电源类型：标准电源（atx）
出线类型：非模组化
额定功率：暂无数据
最大功率：暂无数据
主板接口：暂无数据
硬盘接口：暂无数据
转换效率：白牌（80%）
PFC类型：暂无数据"
Tt tro-700s-c 途腾700s︱600w,299,,,https://2d.zol-img.com.cn/product/229_320x240/505/ce1XX0lHvCdfg.jpg,"电源类型：atx 电源
出线类型：非模组化
额定功率：600W
最大功率：暂无数据
主板接口：24pin
硬盘接口：暂无数据
转换效率：其他
PFC类型：暂无数据"
鱼巢flex-400w电源 flex-500电源,299,299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10046158914670.html,https://2b.zol-img.com.cn/product/229_320x240/869/cegvOkqVh7Zk.jpg,"电源类型：小型电源（sfx）
出线类型：全模组化
额定功率：400W
最大功率：暂无数据
主板接口：20+4 pin
硬盘接口：暂无数据
转换效率：其他
PFC类型：暂无数据"
长城V5 GW-ATX500BL 直出线版,299,,,https://2a.zol-img.com.cn/product/203_320x240/330/ceVDrDiFiKP2g.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式
转换效率：暂无数据"
百盛锐能RP750,299,299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10129642732226.html,https://2e.zol-img.com.cn/product/270_320x240/344/ceOUfHR0dN3b2.jpg,"电源类型：台式机电源，游戏电源
出线类型：非模组电源
额定功率：750W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：主动式
转换效率：暂无数据"
Thermalright（利民）SG TR-SG650S,299,279.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100116682222.html,https://2f.zol-img.com.cn/product/268_320x240/893/ceWYSAeEPRugE.jpg,"电源类型：标准电源（atx）
出线类型：非模组化
额定功率：650W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：暂无数据
转换效率：暂无数据"
先马GT650D,299,279.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100100552847.html,https://icon.zol-img.com.cn/detail/no_pic/no_320x240.gif,"电源类型：标准电源（atx）
出线类型：非模组化
额定功率：650W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
金河田DAZZLLE G6,299,,,https://2e.zol-img.com.cn/product/179_320x240/756/cee9zz275a2U.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：600W
最大功率：700W
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式
转换效率：85%"
金河田TRX600,299,,,https://2d.zol-img.com.cn/product/184_320x240/97/ceePD9TGnEbow.jpg,"电源类型：台式机电源
出线类型：全模组电源
额定功率：550W
最大功率：650W
主板接口：24pin
硬盘接口：4个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
金河田Z监制 VGF500G,299,,,https://2c.zol-img.com.cn/product/205_320x240/762/ce4om9htjIERo.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：500W
最大功率：600W
主板接口：暂无数据
硬盘接口：暂无数据
PFC类型：主动式（功率因数为0.98）
转换效率：80%"
金河田Z监制 VGF600G,299,,,https://2f.zol-img.com.cn/product/205_320x240/801/ceTf6YnqVlKlg.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：600W
最大功率：700W
主板接口：暂无数据
硬盘接口：暂无数据
转换效率：80%
PFC类型：暂无数据"
航嘉WD500K,299,259.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100004925348.html,https://2a.zol-img.com.cn/product/223_320x240/476/ce0I1qBMCxp3w.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
超频三骁卫600W,299,,,https://2b.zol-img.com.cn/product/197_320x240/81/cecrzVSCIxcY.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：600W
最大功率：暂无数据
主板接口：24pin
硬盘接口：3个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
酷冷至尊战斧三代 550W,299,,,https://2c.zol-img.com.cn/product/197_320x240/490/ceRYu8xJtuzqg.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：550W
最大功率：暂无数据
主板接口：20+4 pin
硬盘接口：6个
PFC类型：主动式（功率因数为0.98）
转换效率：82%"
骨伽STE500W,299,,,https://2e.zol-img.com.cn/product/197_320x240/516/ceEOjJ8jGxPl.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：500W
最大功率：600W
主板接口：20+4pin
硬盘接口：5个
PFC类型：主动式（功率因数为0.98）
转换效率：80%"
撒哈拉海盗850V,299,,,https://2b.zol-img.com.cn/product/197_320x240/825/cej6H2lq1MWw.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：650W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：6个
转换效率：90%
PFC类型：暂无数据"
Tt TR2 S 750W,299,269.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100074596172.html,https://2f.zol-img.com.cn/product/257_320x240/137/ceZTrhq5I9M6.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：750W
最大功率：暂无数据
主板接口：24pin
硬盘接口：6个
PFC类型：主动式
转换效率：暂无数据"
安耐美BN650,299,329.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10098341649730.html,https://2c.zol-img.com.cn/product/257_320x240/548/ceVxwdUwcGutQ.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：650W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：5个
PFC类型：主动式
转换效率：暂无数据"
银欣ET450-B,299,,,https://2d.zol-img.com.cn/product/200_320x240/699/ceyMIlpiuGsM2.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：450W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：6个
PFC类型：主动式
转换效率：20%-100%，负载时可达82%-85%"
EVGA 450 B,299,,,https://2b.zol-img.com.cn/product/196_320x240/815/ceWFe36cZyc.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：450W
最大功率：暂无数据
主板接口：24pin
硬盘接口：6个
PFC类型：主动式
转换效率：>85%"
酷冷至尊MWE BRONZE 500W（MPX-5001-ACAAB-CN）,299,,,https://2d.zol-img.com.cn/product/193_320x240/883/cejWBF0etZUKw.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：5个
PFC类型：主动式
转换效率：85%"
利民TR-TB650S,299,249.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100077350391.html,https://2b.zol-img.com.cn/product/259_320x240/19/ceBHQMAl1apnE.png,"电源类型：台式机电源
出线类型：暂无数据
额定功率：650W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：暂无数据
PFC类型：主动式
转换效率：暂无数据"
鑫谷AN650,299,199.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10050536652172.html,https://2c.zol-img.com.cn/product/252_320x240/568/ceDahOEP4Uxo.jpg,"电源类型：台式机电源
出线类型：半模组化
额定功率：650W
最大功率：暂无数据
主板接口：暂无数据
硬盘接口：暂无数据
PFC类型：暂无数据
转换效率：暂无数据"
ANTEC BP500,299,249.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/55641698451.html,https://2f.zol-img.com.cn/product/252_320x240/871/cejqkfp1GzmI.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：500W
最大功率：500W
主板接口：20+4pin
硬盘接口：6个
PFC类型：主动式
转换效率：85%"
先马600W,299,,,https://2c.zol-img.com.cn/product/252_320x240/892/ceE80beRfqHAs.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：600W
最大功率：暂无数据
硬盘接口：2个
主板接口：暂无数据
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
金河田战刀EX750W,299,349.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10081436867143.html,https://2d.zol-img.com.cn/product/259_320x240/355/cel6DcisAOwIo.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：750W
最大功率：暂无数据
主板接口：20+4 pin
硬盘接口：3个
PFC类型：主动式
转换效率：暂无数据"
超频三驱逐者S600,299,,,https://2d.zol-img.com.cn/product/148_320x240/971/cevYtF6ZDmA.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：500W
最大功率：600W
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式
转换效率：82%"
爱国者GT600,299,,,https://2e.zol-img.com.cn/product/182_320x240/656/ceXOkgmtK2mCI.jpg,"电源类型：台式机电源
出线类型：模组电源
额定功率：600W
最大功率：700W
主板接口：20+4pin
硬盘接口：6个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
银欣ST70F-ES230,299,322.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100014558658.html,https://2a.zol-img.com.cn/product/259_320x240/300/cer5pxmMcPFs.png,"电源类型：台式机电源
出线类型：非模组化
额定功率：700W
最大功率：暂无数据
主板接口：20+4 pin
硬盘接口：4个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
长城神威7000SW,299,269.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10088188541777.html,https://2e.zol-img.com.cn/product/259_320x240/252/cenBw8cBEqF6.jpg,"电源类型：标准电源（atx）
出线类型：非模组化
额定功率：600W
最大功率：暂无数据
主板接口：24pin
硬盘接口：4个
PFC类型：主动式
转换效率：暂无数据"
鑫谷战斧750PLUS背线版,299,,,https://2f.zol-img.com.cn/product/196_320x240/209/cekA7JWWAUOw.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：650W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：暂无数据
PFC类型：主动式PFC
转换效率：暂无数据"
先马实力先锋600（模组版）,299,,,https://2b.zol-img.com.cn/product/193_320x240/241/ceJbSEh8E9m0c.jpg,"电源类型：台式机电源
出线类型：模组电源
额定功率：600W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：暂无数据
PFC类型：主动式
转换效率：暂无数据"
鑫谷全模750,299,299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100002922631.html,https://2f.zol-img.com.cn/product/225_320x240/555/cedCV2dL7kNHE.jpg,"电源类型：台式机电源
出线类型：全模组电源
额定功率：650W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：5个
PFC类型：主动式
转换效率：暂无数据"
鑫谷走线王700+,299,,,https://2c.zol-img.com.cn/product/197_320x240/350/ceTkARbvvYjIo.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：600W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：5个
PFC类型：主动式
转换效率：暂无数据"
爱国者G7全模组版,299,329.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10086141555438.html,https://2f.zol-img.com.cn/product/252_320x240/249/ceDHwVeQ1eXCM.jpg,"电源类型：台式机电源
出线类型：全模组电源
额定功率：800W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
Tt PS-SPD-0550NNSABC-1,299,,,https://2a.zol-img.com.cn/product/254_320x240/922/ceuDwMBQ95US2.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：550W
最大功率：暂无数据
主板接口：24pin
硬盘接口：6个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
超频三七防芯 GI-BR500W,299,,,https://2f.zol-img.com.cn/product/252_320x240/379/ceqL7emkM8PpU.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：8个
PFC类型：主动式
转换效率：暂无数据"
景讯欣SU3D-MD7002,299,,,https://2e.zol-img.com.cn/product/270_320x240/780/cefZKYDjDIPw.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：600W
最大功率：暂无数据
主板接口：暂无数据
硬盘接口：暂无数据
PFC类型：暂无数据
转换效率：暂无数据"
爱国者电竞EU550,299,,,https://2f.zol-img.com.cn/product/203_320x240/345/ce5Syk2DHu4yQ.jpg,"电源类型：台式机电源
出线类型：模组电源
额定功率：550W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：6个
PFC类型：主动式
转换效率：88%"
金河田战刀EX750W ATX3.1,299,,,https://2a.zol-img.com.cn/product/270_320x240/526/ce8vC9lZWhl6.jpg,"电源类型：台式机电源，标准电源（atx）
出线类型：非模组化
额定功率：750W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
全汉炫动GT500W,299,406.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10094385338153.html,https://2f.zol-img.com.cn/product/252_320x240/939/ceWe3TLKRTJe.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式
转换效率：82%"
酷冷至尊雷霆II 500W,299,,,https://2a.zol-img.com.cn/product/193_320x240/32/cerqxbni1iUY6.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：6个
PFC类型：主动式
转换效率：暂无数据"
技嘉GP-PB500,299,,,https://2d.zol-img.com.cn/product/185_320x240/933/ceC8FnXQPV68c.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：500W
最大功率：暂无数据
主板接口：24pin
硬盘接口：7个
PFC类型：主动式（PF>0.9典型）
转换效率：86%（典型负载下）"
三段式地狱幽灵AS400,299,,,https://2f.zol-img.com.cn/product/217_320x240/233/ceqoj17gX6koM.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：暂无数据
转换效率：暂无数据"
酷冷至尊战剑 NEX N700,299,283.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/68940082802.html,https://2c.zol-img.com.cn/product/252_320x240/132/ceeyuVaVWoFyc.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：700W
最大功率：暂无数据
主板接口：24pin
硬盘接口：5个
PFC类型：主动式
转换效率：暂无数据"
鑫谷全模650电竞版,299,,,https://2a.zol-img.com.cn/product/190_320x240/174/ceyeCseN1ufG6.jpg,"电源类型：台式机电源
出线类型：全模组电源
额定功率：550W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：5个
PFC类型：主动式
转换效率：85%"
全汉蓝暴炫动Ⅱ 550W,299,,,https://2f.zol-img.com.cn/product/202_320x240/907/ce28u0y31BPKE.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：550W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：6个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
台达NX450,299,,,https://2b.zol-img.com.cn/product/176_320x240/85/ceuzqJck79KtU.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：450W
最大功率：550W
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式
转换效率：88%"
Tt 钢影 TOUGHPOWER GX1 RGB 500W,299,,,https://2e.zol-img.com.cn/product/214_320x240/610/ceNBDaQvJe1JQ.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：500W
最大功率：暂无数据
主板接口：24pin
硬盘接口：4个
PFC类型：主动式
转换效率：暂无数据"
动力火车风云3070,299,,,https://2c.zol-img.com.cn/product/226_320x240/928/ceq8n7qeXlaA.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：750W
最大功率：暂无数据
主板接口：24pin
硬盘接口：4个
PFC类型：主动式
转换效率：暂无数据"
动力火车电竞大师 全模650,299,,,https://2d.zol-img.com.cn/product/226_320x240/971/ceXfXCqieGyRY.jpg,"电源类型：台式机电源
出线类型：全模组电源
额定功率：650W
最大功率：750W
主板接口：24pin
硬盘接口：4个
PFC类型：主动式
转换效率：80-82％"
酷冷至尊G500 GOLD,299,329.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10032035464102.html,https://2c.zol-img.com.cn/product/214_320x240/250/ce2CctGdy9Ys.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：500W
最大功率：暂无数据
主板接口：24pin
硬盘接口：2个
PFC类型：主动式
转换效率：91%"
航嘉Jumper500,299,,,https://2c.zol-img.com.cn/product/199_320x240/234/ceBxuqlek0L2s.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：500W
最大功率：600W
主板接口：24pin
硬盘接口：3个
PFC类型：主动式
转换效率：80%"
长城GW-550,299,,,https://2b.zol-img.com.cn/product/199_320x240/575/ceXK7Vblc6I5Q.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：550W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：6个
PFC类型：主动式（功率因数为0.98）
转换效率：80%"
Tt SMART BX1 RGB 550W,299,,,https://2f.zol-img.com.cn/product/199_320x240/817/ceGtCsSGa5oZ2.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：500W
最大功率：暂无数据
主板接口：24pin
硬盘接口：6个
转换效率：80%
PFC类型：暂无数据"
航嘉GX500B,299,,,https://2c.zol-img.com.cn/product/220_320x240/526/ceMWmBqvvfxc.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：主动式
转换效率：暂无数据"
航嘉WD500百万纪念版,299,,,https://2d.zol-img.com.cn/product/209_320x240/237/cepydU9gFdwv.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动PFC
转换效率：暂无数据"
首席玩家PS-700EUW,299,,,https://2f.zol-img.com.cn/product/200_320x240/289/ceuHgPHy5Z386.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：700W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：6个
PFC类型：主动式
转换效率：80%"
航嘉ECO ECO500,299,239.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10088159557636.html,https://2a.zol-img.com.cn/product/262_320x240/754/ce6eiFMPxJpUY.jpg,"电源类型：台式机电源，标准电源（atx）
出线类型：非模组电源
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：主动式
转换效率：暂无数据"
长城PRIME650,299,299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10080706499636.html,https://2e.zol-img.com.cn/product/253_320x240/632/cecrBH9UPvEYc.jpg,"电源类型：台式机电源
出线类型：全模组电源
额定功率：650W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：5个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
九州风神PF 700,299,230.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10111924074861.html,https://2d.zol-img.com.cn/product/253_320x240/837/ce5laROkaKPx.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：700W
最大功率：暂无数据
主板接口：20+4 pin
硬盘接口：6个
PFC类型：主动式
转换效率：暂无数据"
