标题,参考价,京东价
金士顿低电压版 8GB DDR4 2400（KVR24S17S8/8）,￥499,
影驰星曜 8GB DDR4 3000,￥299,
金百达16GB DDR4 2666（台式机）,￥279,¥139
影驰GAMER 8GB DDR4 2400,￥255,
芝奇幻光戟 8GB DDR4 3000（F4-3000C16S-8GTZR）,￥369,
三星8GB DDR4 2133,￥389,
三星8GB DDR4 2400（笔记本）,￥259,
金士顿HyperX Predator  8GB DDR4 4000,￥559,
海盗船复仇者LPX 8GB DDR4 2400（CMK8GX4M1A2400C14）,￥264,
金士顿32GB DDR4 2666（KVR26S19D8/32）,￥869,
金士顿FURY Beast 32GB DDR4 2666（KF426C16BB/32）,￥979,¥399
金士顿HyperX Impact 8GB DDR4 2666（HX426S15IB2/8）,￥259,¥139
联想16GB DDR4 3200（笔记本）,￥549,¥165
金士顿4GB DDR4 2666（KCP426SS6/4）,￥199,
金泰克贪狼星 8GB DDR4 3200,￥259,
金士顿骇客神条FURY 8GB DDR4 3200 RGB（HX432C16FB3A/8）,￥339,
英睿达8GB DDR4 2666（CT8G4DFS8266）,￥309,
威刚XPG-Z1威龙 16GB DDR4 3600,￥679,¥195
芝奇8GB DDR4 2666（F4-2666C19S-8GNT）,￥209,
三星16GB DDR4 2666,￥899,¥799
金士顿16GB DDR4 2133（KVR21N15D8/16）,￥1499,
沃存8GB DDR4 3200,￥99,
金士顿FURY Beast 16GB DDR4 3600特别版,￥569,¥369
芝奇8GB DDR4 2133（F4-2133C15S-8GNT）,￥306,
金士顿FURY Impact 8GB DDR4 2666（KF426S15IB/8）,￥259,
七彩虹战斧 16GB DDR4 3200 新马甲条,￥499,¥149
科赋8GB DDR4 3200,￥285,
金士顿16GB DDR4 2666（KVR26S17D8/16）,￥475,¥249
海盗船复仇者RGB PRO 8GB DDR4 3200（CM4X8GD3200C16W2E-CN）,￥379,
影驰星曜 16GB DDR4 3200,￥579,¥149
联想32GB DDR4 3200（笔记本）,￥1049,¥359
威刚XPG-Z1威龙 8GB DDR4 3600,￥379,¥115
联想16GB DDR4 2666（游戏内存条）,￥459,
科赋BOLT X 雷霆 16GB DDR4 3200,￥599,
金士顿FURY Beast 16GB DDR4 3200特别版,￥499,¥239
金士顿骇客神条FURY 16GB DDR4 2666 RGB（HX426C16FB3A/16）,￥669,
海盗船复仇者LPX 16GB DDR4 3000（CMK16GX4M1B3000C15）,￥484,
雷克沙4GB DDR4 2666（台式机）,￥109,
金士顿8GB DDR4 2666（KCP426SS6/8）,￥329,
海盗船复仇者 16GB DDR4 3200（笔记本）,￥729,¥229
金士顿骇客神条 Predator 16GB DDR4 3000,￥749,
海力士8GB DDR4 2666（笔记本）,￥279,
三星16GB DDR4 2666（笔记本）,￥659,
海盗船复仇者LPX 8GB DDR4 3000（CMK8GX4M2B3000C15）,￥314,
