标题,参考价,京东价
光威TYPE-a 8GB DDR4 2666,￥399,
影驰GAMER Ⅱ 8GB DDR4 2400,￥239,
影驰GAMER Ⅱ 8GB DDR4  3000,￥679,
金士顿HyperX Predator  8GB DDR4 2933 RGB灯条,￥899,
台电极光A30 DDR4 2400（4GB）,￥359,
金泰克磐虎 8GB DDR4 2133,￥369,
影驰将系列4GB DDR4 2133,￥388,
海盗船复仇者LPX 16GB DDR4 2400（CMK16GX4M1A2400C16）,￥1399,
英睿达8GB DDR4 2400（CT8G4SFS824A）,￥508,
英睿达8GB DDR4 2400（CT8G4DFD824A）,￥458,
阿斯加特雷赤ZG 8GB DDR4 2400,￥389,
阿斯加特雷赤X3 8GB DDR4 2400,￥419,
芝奇Ripjaws4 8GB DDR4 3200（F4-3200C16S-8GRKB）,￥399,
金邦千禧条 8GB DDR4 2400,￥350,
Team 8GB DDR4 2400（TED48G2400C16-SBK）,￥229,
威刚XPG F1 8GB DDR4 2400,￥469,
海盗船8GB DDR4 2133（CMV8GX4M1A2133C15）,￥349,
金士顿骇客神条Impact 4GB DDR4 2133（HX421S13IB/4）,￥259,
金士顿骇客神条Impact 8GB DDR4 2133（HX421S13IB/8）,￥829,
金士顿4GB DDR4 2133（KVR21N15/4）,￥449,
三星REG 8GB DDR4 2133 1R*4,￥800,
景讯欣SU3D 8GB DDR4 2666笔记本内存,￥199,
美商海盗船复仇者RGB SL 16GB DDR4 3600,￥9799,
酷兽夜枭 8GB DDR4 3600,￥109,¥79
美商海盗船复仇者RGB RS 8GB D4 3200,￥275,
美商海盗船复仇者RGB SL 16GB D4 3200,￥9799,
铨兴16GB DDR4 2666（笔记本）,￥389,¥128
紫光藏刃 8GB DDR4 3600（台式机）,￥299,
玖合忆界 8GB DDR4 3200,￥189,¥86
铨兴16GB DDR4 3200（台式机）,￥419,¥139
铨兴4GB DDR4 2666（笔记本）,￥109,¥59
铨兴8GB DDR4 3200（台式机）,￥199,¥84
亿储16GB DDR4 2666,￥439,
亿储8GB DDR4 3200,￥245,
索奈特8GB DDR4 2666（笔记本）,￥178,¥65
朗科越影 16GB DDR4 2666,￥429,
朗科越影 8GB DDR4 3000,￥219,
雷克沙8GB DDR4 3200（笔记本）,￥220,¥109
影驰金属大师 8GB DDR4 3000,￥289,
威刚XPG Z1 32GB DDR4 3000,￥1409,¥829
金邦锐速 16GB DDR4 2666,￥589,
光威弈Pro 16GB DDR4 3000马甲条,￥499,
光威TYPE-a 16GB DDR4 3200,￥479,
光威天策 16GB DDR4 3000,￥449,
铭瑄 复仇者M3 8GB DDR4 3200,￥299,
Acer 掠夺者 Talos 8GB DDR4 3200,￥309,
英睿达铂胜游戏 8GB DDR4 2666,￥279,
宇瞻经典普条 DDR4 2666 8GB,￥299,
七彩虹捍卫者 16GB DDR4 3200,￥599,
七彩虹战斧 8GB DDR4 2666 新马甲条,￥189,
七彩虹捍卫者 8GB DDR4 2666,￥299,
七彩虹战斧 8GB DDR4 3000 新马甲条,￥199,
七彩虹战斧 16GB DDR4 2666 新马甲条,￥389,
昱联16GB DDR4 4000 RGB灯条,￥699,
金泰克骁帅 8GB DDR4 3000,￥249,
金泰克骁帅 8GB DDR4 2666,￥189,
美商海盗船复仇者LPX 灰色 16GB DDR4 3200,￥599,
美商海盗船复仇者LPX 灰色 8GB DDR4 3200,￥319,
光威战将 32GB DDR4 2666（笔记本）,￥760,¥299
科赋BOLT X 8GB DDR4 3600 马甲条,￥319,
科赋BOLT X 8GB DDR4 3200 马甲条,￥299,
瑞势天狼 16GB DDR4 2666,￥1999,
海康威视8GB DDR4 2666（台式机）,￥235,
瑞势天狼 8GB DDR4 2666,￥319,
雷神8GB DDR4 2933（笔记本）,￥329,
酷兽夜枭 8GB DDR4 3200,￥229,¥89
BORY 8GB DDR4 2666,￥169,
科赋8GB DDR4 2666（台式机）,￥279,
芝奇Ripjaws V 8GB DDR4 3200（F4-3200C16S-8GVKB）,￥229,
影驰GAMER BLUE 8GB DDR4 2666,￥299,
光威TYPE-a 16GB DDR4 2666,￥430,
光威战将 16GB DDR4 3000,￥349,
光威TYPE-a 32GB DDR4 2666,￥719,
雷克沙16GB DDR4 2666（台式机）,￥299,
影驰4GB DDR4 2666（台式机）,￥119,
方正16GB DDR4 2666（台式机）,￥439,
昱联8GB DDR4 2666（台式机）,￥259,
联想32GB DDR4 2666（笔记本）,￥1379,
HP S1 4GB DDR4 2666,￥139,
枭鲸16GB DDR4 3200 电竞版,￥439,
枭鲸8GB DDR4 2400（台式机）,￥199,
宇瞻4GB DDR4 2666（笔记本）,￥129,
Team Elite 16GB DDR4 3200,￥419,
Team Elite 8GB DDR4 3200,￥199,
台电极光系列 A40 16GB DDR4 2666,￥459,
Team 火神系列 32GB DDR4 3200,￥1009,
Team 火神 8GB DDR4 2666（笔记本）,￥229,
HP S1 8GB DDR4 2666,￥269,
玖合32GB DDR4 3600,￥899,
玖合32GB DDR4 3200,￥799,
光威弈Pro 8GB DDR4 3000,￥240,
精亿DX 8G DDR4 2800,￥175,
先锋16GB DDR4 2666,￥499,
威刚XPG-威龙D10G 16GB DDR4 2666,￥539,
金邦EVO-X RGB幻彩系列 16GB DDR4 3200,￥719,
科赋BOLT 雷霆 16GB DDR4 2666,￥499,
金邦狂速超频 EVO-POTENZA 8GB DDR4 3200,￥279,
骏士8GB DDR4 2400,￥209,
记忆科技16GB DDR4 2666,￥509,
星辰聚8GB DDR4 1600,￥159,
七彩虹iGame 8GB DDR4 3000,￥309,
七彩虹iGame 8GB DDR4 3200,￥329,
辛士达4GB DDR4 2400,￥139,
玖合星辰 16GB DDR4 2133,￥399,
海力士16GB DDR4 2133（笔记本）,￥655,
毕伟4GB DDR4 2133,￥83,
芝奇Sniper X 8GB DDR4 3600,￥549,
ZTSZ 8G DDR4 2400,￥299,
光威战将 8GB DDR4 2400（笔记本）,￥229,
光威战将 8GB DDR4 2666,￥199,
金泰克X3 8GB DDR4 3600,￥425,
金邦4GB DDR4 2400,￥229,
超频三战神Ares 16GB DDR4 2400,￥888,
芝奇Ripjaws 2400 16GB（F4-2400C16S-16GRS）,￥599,
协德海力士芯片 4GB DDR4 2400（笔记本）,￥199,
酷兽16GB DDR4 2133（台式机）,￥369,
宏想16GB DDR4 2666（笔记本）,￥479,
宏想16GB DDR4 2666（台式机）,￥459,
光威TYPE-α 8GB DDR4 2666,￥179,¥269
宇瞻NOX 暗黑女神 8G DDR4  2400,￥349,
创见DDR4 2666 4GB（台式机）,￥199,
协德16GB DDR4 2666 PC4,￥449,¥99
宇瞻突击队 8G DDR4 2800,￥399,
魅光黑战MT 16G 2400,￥480,
金百达4GB DDR4 2400,￥209,
金百达黑爵 8GB DDR4 2400,￥199,
威刚万紫千红 4GB DDR4 2666（笔记本）,￥229,
威刚XPG龙耀D41 RGB 8GB DDR4 3000,￥329,
玖合4GB DDR4 2400,￥119,
宇瞻黑豹 8GB DDR4 2666,￥229,
台电RGB P70 8GB DDR4 2400,￥239,
玖合精工系列8GB DDR4 3200,￥509,
光威TYPE-a 4GB DDR4 2400,￥198,
金邦锐速 8GB DDR4 2400,￥299,
海盗船复仇者16GB DDR4 2400（笔记本）,￥1099,
金泰克X3 8GB DDR4 2400,￥379,
阿斯加特洛极 16GB DDR4 2400,￥549,
威刚万紫千红 8GB DDR4 2400（笔记本）,￥349,
台电极光A30 DDR4 2400（16GB）,￥1299,
英睿达铂胜运动 LT 16GB DDR4 2400（BLS16G4D240）,￥1299,
英睿达铂胜智能 8GB DDR4 2666,￥718,
英睿达铂胜TACTICA 8GB DDR4 3000,￥649,
英睿达铂胜运动 8GB DDR4 2400,￥618,
现代8GB DDR4 2400,￥419,
现代4GB DDR4 2400,￥219,
科赋8GB DDR4 2400,￥539,
光威8GB DDR4 2133（M14B327250）,￥329,
金士顿系统指定内存 16GB DDR4 2133（KCP421SD8/16）,￥1599,
金鹏城8GB DDR4 2400,￥520,
金泰克X3 Pro 16GB DDR4 2666,￥1399,
阿斯加特雷赤ZG 16GB DDR4 2400,￥759,
Team 16GB DDR4 2400（TED416G2400C1601）,￥429,
光威4GB DDR4 2133,￥399,
海盗船复仇者LPX 4GB DDR4 2400,￥849,
Team 16GB DDR4 2133（TED416G2133C15BK）,￥1199,
光威悍将 8GB DDR4 2400（单条）,￥169,
金邦千禧条 8GB DDR4 2400 C15,￥315,
金士顿骇客神条Impact 4GB DDR4 2400（HX424S14IB/4）,￥209,
铨兴16GB DDR4 3200（笔记本）,￥389,¥139
景讯欣SU3D 16GB DDR4 2666笔记本内存,￥299,
美商海盗船复仇者RGB RS 16GB D4 3200,￥9799,
美商海盗船复仇者RGB 16GB DDR4 3200吹雪联名款,￥9799,
美商海盗船复仇者 RGB PRO 16GB DDR4 3000,￥9799,
美商海盗船复仇者LPX 32GB DDR4 3000,￥799,¥869
美商海盗船复仇者 RGB PRO16GB DDR4 3600,￥489,
美商海盗船复仇者 RGB PRO 16GB DDR4 3200,￥4899,
景讯欣SU3D 8GB DDR4 3200,￥399,
景讯欣SU3D 16GB DDR4 3200,￥499,
景讯欣SU3D 8GB DDR4 2666笔记本内存条,￥399,
景讯欣SU3D 8GB DDR4 2666,￥359,
景讯欣SU3D 4GB DDR4 2666,￥259,
宇瞻黑豹 16GB DDR4 3000,￥409,
Team 冥神系列 8GB DDR4 3600,￥219,
AIRDISK 8GB DDR4 3200（笔记本）,￥189,
玖合忆界 16GB DDR4 3000,￥329,
AIRDISK 8GB DDR4 2666（台式机）,￥189,
AIRDISK 16GB DDR4 3200（台式机）,￥379,
玖合忆界 8GB DDR4 2666,￥179,¥83
玖合忆界 16GB DDR4 2666,￥349,¥129
玖合忆界 8GB DDR4 3000,￥185,
玖合忆界 16GB DDR4 3200,￥379,¥138
磐镭RGB PRO GAMING MEMORY 16GB DDR4 3200,￥499,
磐镭RGB PRO GAMING MEMORY 8GB DDR4 3200,￥289,
紫光藏刃 16GB DDR4 3200（台式机）,￥399,
紫光藏刃 8GB DDR4 3200（台式机）,￥199,¥159
威刚XPG威龙D45 8GB DDR4 3600,￥499,
光威天策 32GB DDR4 3000,￥759,
欧比亚8GB DDR4 2666 马甲条,￥259,
玖合4GB DDR4 2666（笔记本）,￥109,
欧比亚8GB DDR4 2666,￥249,
欧比亚16GB DDR4 2666,￥489,
欧比亚4GB DDR4 2666,￥129,
磐镭16GB DDR4 2666 马甲条,￥429,
磐镭8GB DDR4 2666 马甲条,￥229,
双敏16GB DDR4 2666（台式机）,￥499,
磐镭32GB DDR4 3200,￥969,
磐镭32GB DDR4 3200 马甲条,￥979,
磐镭16GB DDR4 3200,￥539,
铨兴32GB DDR4 3200（台式机）,￥879,¥349
铨兴8GB DDR4 2666（笔记本）,￥189,¥79
铨兴16GB DDR4 2666（台式机）,￥389,¥129
铨兴8GB DDR4 2666（台式机）,￥219,¥79
索奈特8GB DDR4 2400（笔记本）,￥168,
铨兴4GB DDR4 2666（台式机）,￥108,¥59
雷克沙16GB DDR4 2666（笔记本）,￥429,
索奈特16GB DDR4 2666（笔记本）,￥378,¥108
七彩虹8GB DDR4 2666（台式机）,￥199,¥69
Goldendisk 8GB DDR4 2666 ECC（笔记本）,￥831,
Goldendisk 4GB DDR4 2666 ECC（笔记本）,￥535,
Goldendisk 16GB DDR4 2666 ECC（笔记本）,￥1488,
Goldendisk 8GB DDR4 2666（笔记本）,￥726,
Goldendisk 32GB DDR4 2666（笔记本）,￥2286,
Goldendisk 16GB DDR4 2666（笔记本）,￥1273,
赛帝曼克16GB DDR4 2666（台式机）,￥439,
赛帝曼克8GB DDR4 2666（台式机）,￥249,
Goldendisk 4GB DDR4 2666（笔记本）,￥448,
赛帝曼克16GB DDR4 2400（台式机）,￥439,
Goldendisk 32GB DDR4 3200（台式机）,￥1282,
赛帝曼克8GB DDR4 2400（台式机）,￥239,
Goldendisk 8GB DDR4 2666（台式机）,￥288,
Goldendisk 32GB DDR4 2666（台式机）,￥1200,
Goldendisk 16GB DDR4 2666（台式机）,￥580,
Goldendisk 4GB DDR4 2666（台式机）,￥150,
梅捷4GB DDR4 2400（台式机）,￥99,
梅捷8GB DDR4 2666（台式机）,￥189,
麦光悍獾RGB内存条 16GB DDR4 3200,￥629,
麦光悍獾RGB内存条 8GB DDR4 3200,￥359,
麦光32GB DDR4 3600（台式机）,￥1119,
科赋32GB DDR4 2666（笔记本）,￥1199,
麦光32GB DDR4 3200（台式机）,￥1089,¥572
科赋32GB DDR4 3200（笔记本）,￥1049,
亿储8GB DDR4 2666,￥219,
移速猎豹 4GB DDR4 2666（YSMLB-4G26D4L）,￥99,
朗科超光 16GB DDR4 2666,￥429,¥139
移速猎豹 8GB DDR4 2666（YSMLB-8G26D4L）,￥179,
朗科越影 16GB DDR4 3200,￥439,
创见32GB DDR4 2666（台式机）,￥839,¥479
创见32GB DDR4 2666（笔记本）,￥1199,¥479
雷克沙16GB DDR4 3200（笔记本）,￥445,¥179
雷克沙32GB DDR4 3200（笔记本）,￥990,¥399
雷克沙32GB DDR4 2666（台式机）,￥830,
雷克沙Hades RGB 16GB DDR4 3200,￥699,
雷克沙Hades RGB 8GB DDR4 3200,￥369,
雷克沙32GB DDR4 3200（台式机）,￥749,¥389
金邦锐速 16GB DDR4 3000,￥599,¥169
金邦锐速 8GB DDR4 2666,￥309,
金邦锐速 16GB DDR4 2400,￥579,
金邦极光SUPER LUCE RGB SYNC TUF Gaming Alliance 8GB DDR4 3200,￥466,
梵想UD001 8GB DDR4 2666,￥190,
光威TYPE-a 8GB DDR4 3200,￥259,
Acer 掠夺者 Talos 8GB DDR4 3600,￥399,
瑞势天狼 8GB DDR4 2400（笔记本）,￥319,
瑞势天狼 4GB DDR4 2666（笔记本）,￥179,
金胜维32GB DDR4 3000（马甲条）,￥899,
瑞势战狼 8GB DDR4 3000,￥369,
金胜维16GB DDR4 2666（马甲条）,￥499,
金胜维16GB DDR4 3000（马甲条）,￥529,
金胜维32GB DDR4 2666（马甲条）,￥869,
金胜维16GB DDR4 2666（笔记本),￥449,¥139
金胜维8GB DDR4 2666（马甲条）,￥279,
金胜维8GB DDR4 2666（笔记本）,￥159,¥79
超频三8GB DDR4 2666（台式机）,￥219,
七彩虹捍卫者 8GB DDR4 3200,￥349,¥149
超频三超神 8GB DDR4 3000 RBG灯条,￥249,
金泰克骁帅 16GB DDR4 2666,￥459,
金泰克骁帅 16GB DDR4 3000,￥459,
昱联16GB DDR4 2666 马甲条,￥499,
昱联8GB DDR4 4000 RGB灯条,￥469,
昱联8GB DDR4 2666 马甲条,￥229,
昱联4GB DDR4 2666 马甲条,￥129,
酷兽夜枭 8GB DDR4 3000,￥175,
玖合16GB DDR4 3200（笔记本）,￥479,
酷兽夜枭 32GB DDR4 3000,￥679,
玖合8GB DDR4 3200（笔记本）,￥249,
玖合16GB DDR4 3000（笔记本）,￥469,
玖合8GB DDR4 3000（笔记本）,￥239,
方正4GB DDR4 2400（台式机）,￥97,
美商海盗船复仇者LPX 银色 16GB DDR4 3200,￥599,
扎达克TWIST 16GB DDR4 3200,￥419,
光威战将 16GB DDR4 2666（笔记本）,￥430,¥145
劲鲨DDR4 16GB 2400Mzh,￥360,
棘蛇8GB DDR4 3200 RGB灯条,￥229,
光威战将 8GB DDR4 2666（笔记本）,￥229,¥79
紫光御紫 8GB DDR4 3600,￥289,
海康威视16GB DDR4 2666（台式机）,￥479,
海康威视U10 8GB DDR4 3000,￥199,
台电腾龙 8GB DDR4 3000,￥259,
海康威视4GB DDR4 2666（台式机）,￥135,
光威弈Pro 16GB DDR4 2666马甲条,￥459,
光威弈Pro 8GB DDR4 3000马甲条,￥250,
科赋BOLT X 16GB DDR4 3600,￥589,
扎达克TWIST 8GB DDR4 3200,￥249,
影驰星曜 16GB DDR4 3000,￥569,
扎达克TWIST 32GB DDR4 3200,￥939,
技宏天河 8GB DDR4 2666,￥269,
技宏天河 8GB DDR4 3000,￥309,
技宏天河 16GB DDR4 3000,￥339,
酷兽夜枭 16GB DDR4 2666,￥419,¥499
酷兽32GB DDR4 2666（笔记本）,￥669,¥1199
酷兽16GB DDR4 2666（笔记本）,￥399,¥145
雷神记忆魔人 8GB DDR4 3200,￥299,
棘蛇8GB DDR4 3200（台式机）,￥189,
酷兽16GB DDR4 2666（台式机）,￥399,
升技8GB DDR4 2666（笔记本）,￥249,
棘蛇8GB DDR4 3600 红马甲条,￥239,
棘蛇16GB DDR4 3200 红马甲条,￥369,
升技4GB DDR4 2133（笔记本）,￥119,
升技祥云clouds II代 32GB DDR4 2666,￥799,
升技祥云clouds II代 16GB DDR4 3000,￥369,
升技祥云clouds II代 8GB DDR4 3200,￥255,
升技祥云clouds II代 16GB DDR4 2666,￥479,
升技祥云clouds II代 8GB DDR4 3000,￥269,
升技祥云clouds II代 8GB DDR4 2666,￥259,
升技8GB DDR4 3000（台式机）,￥249,
升技祥云clouds II代 8GB DDR4 2400,￥249,
升技4GB DDR4 2666（台式机）,￥99,
升技8GB DDR4 2666（台式机）,￥239,
升技16GB DDR4 2666（台式机）,￥449,
升技8GB DDR4 2400（台式机）,￥235,
技嘉8GB DDR4 2666,￥349,
升技4GB DDR4 2400（台式机）,￥115,
BORY 16GB DDR4 2400,￥298,
BORY 8GB DDR4 3000,￥199,
BORY 8GB DDR4 2400,￥168,
光威深渊 16GB DDR4 3000,￥469,
光威深渊 8GB DDR4 3200,￥199,
光威深渊 32GB DDR4 3000,￥769,
联想Master大师 16GB DDR4 3200,￥449,
扎达克16GB DDR4 3200 SPARK RGB灯条,￥699,
七彩虹战戟 8GB DDR4 2666,￥199,
芝奇Sniper X 8GB DDR4 3200（F4-3200C16S-16GSXWB）,￥449,
扎达克16GB DDR4 3000 MOAB RGB灯条,￥729,
棘蛇32GB DDR4 2666（笔记本）,￥599,
科赋8GB DDR4 3200（笔记本）,￥279,
科赋CRAS X RGB 8GB DDR4 3200,￥319,
科赋16GB DDR4 3200（笔记本）,￥519,
超频三16GB DDR4 2666 马甲条,￥459,
超频三超神Super God 16GB DDR4 2666 RGB,￥499,
超频三8GB DDR4 2666 马甲条,￥279,
紫光16GB DDR4 2666 马甲条,￥455,
紫光8GB DDR4 2666 马甲条,￥275,
紫光御紫 8GB DDR4 2400,￥199,
紫光8GB DDR4 2400（台式机）,￥179,
紫光4GB DDR4 2400（笔记本）,￥109,
紫光4GB DDR4 2400（台式机）,￥109,
影驰GAMER BLUE 8GB DDR4 3200,￥349,
金邦4GB DDR4 2666（台式机）,￥159,¥89
紫光8GB DDR4 2666（笔记本）,￥209,
影驰GAMER BLUE 16GB DDR4 3000,￥529,
扎达克8GB DDR4 3000 MOAB RGB灯条,￥349,
扎达克TWIST 8GB DDR4 2666,￥219,
创见16GB DDR4 2666（笔记本）,￥599,
玖合8GB DDR4 3000（台式机）,￥249,
创见16GB DDR4 2666（台式机）,￥599,
玖合8GB DDR4 2666（台式机）,￥239,
Team 8GB DDR4 3200（笔记本）,￥259,
Team 16GB DDR4 3200（笔记本）,￥469,
翔升16GB DDR4 2666（台式机）,￥369,
翔升16GB DDR4 2666 战甲,￥379,
翔升8GB DDR4 2666 战甲,￥229,
翔升16GB DDR4 2400（台式机）,￥359,
翔升4GB DDR4 2666（台式机）,￥135,
翔升8GB DDR4 2666（台式机）,￥219,
翔升8GB DDR4 2400（台式机）,￥209,
翔升4GB DDR4 2400（台式机）,￥129,
精亿4GB DDR4 2400（升级马甲版）,￥119,
精亿4GB DDR4 2400（台式机）,￥109,
精亿16GB DDR4 2400（台式机）,￥265,
精亿16GB DDR4 2666（台式机）,￥265,
精亿8GB DDR4 3200（台式机）,￥198,
精亿8GB DDR4 3000（台式机）,￥188,
精亿16GB DDR4 3000（台式机）,￥278,
协德8GB DDR4 3000 电竞版,￥239,
协德16GB DDR4 3000 电竞版,￥469,¥49
精亿16GB DDR4 3200（台式机）,￥288,
黑金刚4GB DDR4 2666（笔记本）,￥170,
黑金刚8GB DDR4 2666（笔记本）,￥260,
黑金刚16GB DDR4 2666,￥435,
黑金刚8GB DDR4 2666,￥230,
黑金刚4GB DDR4 2666,￥170,
芝奇Ripjaws4 8GB DDR4 2666（F4-2666C19S-8GRK）,￥209,
挚科16GB DDR4 2666（台式机）,￥299,
挚科16GB DDR4 2400（台式机）,￥299,
威刚XPG-Z1威龙 16GB DDR4 2666,￥609,
海盗船复仇者 32GB DDR4 2666（笔记本）,￥1099,¥469
方正4GB DDR4 2666（台式机）,￥119,
方正8GB DDR4 2666（台式机）,￥239,
雷克沙8GB DDR4 2666（台式机）,￥210,
雷神8GB DDR4 2666（笔记本）,￥249,
影驰16GB DDR4 2666（台式机）,￥339,
毕伟炫酷马甲条 8GB DDR4 2666,￥230,
影驰8GB DDR4 2666（台式机）,￥239,
毕伟16GB DDR4 2666（台式机）,￥452,
金泰克X3烈焰风暴 16GB DDR4 2666,￥469,
HP V2 16GB DDR4 2666,￥499,
HP V2 4GB DDR4 2666,￥159,
HP V2 8GB DDR4 2666,￥269,
昱联16GB DDR4 2666（笔记本）,￥489,¥249
HP V2 8GB DDR4 2400,￥269,
昱联8GB DDR4 2666（笔记本）,￥259,¥149
昱联16GB DDR4 3600 RGB灯条,￥619,
昱联4GB DDR4 2666（笔记本）,￥129,¥109
昱联8GB DDR4 3200 RGB灯条,￥319,
昱联8GB DDR4 3600 RGB灯条,￥338,
昱联16GB DDR4 3200 RGB灯条,￥529,
昱联16GB DDR4 2666（台式机）,￥479,
昱联4GB DDR4 2666（台式机）,￥119,
台电幻影 RGB 8GB DDR4 3000,￥249,
捷派DDR4 16GB 3000 马甲散热条,￥459,
捷派DDR4 16GB 3200 马甲散热条,￥519,
捷派DDR4 16GB 2666 马甲散热条,￥389,
捷派DDR4 16GB 3200（笔记本）,￥489,
捷派DDR4 16GB 2666（台式机）,￥499,
捷派DDR4 8GB 2666（台式机）,￥269,
捷派DDR4 8GB 3200（笔记本）,￥329,
捷派DDR4 8GB 3000（笔记本）,￥279,
捷派DDR4 16GB 3000（笔记本）,￥439,
捷派DDR4 8GB 2666（笔记本）,￥269,
宇瞻暗黑女神 8GB DDR4 3000（笔记本）,￥229,
捷派DDR4 16GB 2666（笔记本）,￥499,
宇瞻黑豹 16GB DDR4 2666,￥399,
金百达4GB DDR4 2666（笔记本）,￥109,
宇瞻16GB DDR4 2666（笔记本）,￥369,
七彩虹CVN 8GB DDR4 3200 RGB,￥349,
枭鲸32GB DDR4 3200 电竞版,￥989,
七彩虹CVN 8GB DDR4 2666 RGB,￥299,
枭鲸8GB DDR4 3200 电竞版,￥239,
枭鲸32GB DDR4 3000 电竞版,￥689,
枭鲸16GB DDR4 3000 电竞版,￥429,
枭鲸8GB DDR4 3000 电竞版,￥229,
枭鲸32GB DDR4 2666 电竞版,￥679,
枭鲸16GB DDR4 2666 电竞版,￥419,
枭鲸16GB DDR4 2666（台式机）,￥409,
枭鲸8GB DDR4 2666 电竞版,￥209,
枭鲸16GB DDR4 2666（笔记本）,￥399,
枭鲸4GB DDR4 2666（笔记本）,￥109,
枭鲸8GB DDR4 2666（笔记本）,￥179,
扎达克DDR4 2666 8GB MOAB RGB灯条,￥339,
酷兽8GB DDR4 2666（笔记本）,￥219,¥299
扎达克DDR4 3200 8GB MOAB RGB灯条,￥399,
光威弈Pro 16GB DDR4 2666（笔记本）,￥428,
玖合32GB DDR4 2666（笔记本）,￥989,
光威弈Pro 8GB DDR4 2666（笔记本）,￥236,
Team Elite 32GB DDR4 3200,￥869,
HP V8 RGB 8GB DDR4 3600,￥399,
台电极光系列 A40 8GB DDR4 2666,￥249,
HP V8 RGB 8GB DDR4 3000,￥349,
先锋冰锋系列 16GB DDR4 3600,￥499,
先锋冰锋系列 8GB DDR4 3600,￥249,
棘蛇16GB DDR4 3000（台式机）,￥319,
棘蛇8GB DDR4 3000（台式机）,￥189,
棘蛇8GB DDR4 2666（台式机）,￥179,
棘蛇16GB DDR4 2666（台式机）,￥339,
Team 炫光迷彩 16GB DDR4 3000,￥499,
Team 炫光迷彩 8GB DDR4 2666,￥279,
Team 迷彩 8GB DDR4 3000,￥295,
Team 火神 16GB DDR4 2666（笔记本）,￥439,
Team 16GB DDR4 2666（笔记本）,￥419,
Team 迷彩 8GB DDR4 2666,￥279,
Team 8GB DDR4 2666（笔记本）,￥219,
Team 火神系列 16GB DDR4 3200,￥579,
Team Delta RGB 8GB DDR4 3000,￥299,
Team 16GB DDR4 2666,￥499,
佰微DDR4 2666 32GB（台式机）,￥999,
佰微DDR4 2666 16GB（台式机）,￥499,
佰微DDR4 2666 32GB（笔记本）,￥999,
佰微DDR4 2666 4GB（台式机）,￥129,
佰微DDR4 2666 8GB（台式机）,￥239,
佰微DDR4 2666 8GB（笔记本）,￥219,
佰微DDR4 2666 16GB（笔记本）,￥499,
佰微DDR4 2666 4GB（笔记本）,￥129,
玖合32GB DDR4 3000,￥789,
联想8GB DDR4 2666（游戏内存条）,￥249,
光威弈Pro 16GB DDR4 2666,￥440,
先锋冰锋系列 8GB DDR4 3200,￥219,
先锋冰锋系列 16GB DDR4 3200,￥439,
威刚XPG-威龙D10G 8GB DDR4 2666,￥279,
七彩虹BattleAX 8GB DDR4 3200,￥234,
棘蛇8GB DDR4 2666（笔记本）,￥189,
棘蛇16GB DDR4 2666（笔记本）,￥349,
棘蛇8GB DDR4 3000,￥195,
棘蛇8GB DDR4 3200,￥199,
棘蛇4GB DDR4 2400（笔记本）,￥129,
棘蛇16GB DDR4 3000,￥349,
影驰GAMER BLUE DDR4 3000 8GB,￥329,
先锋4GB DDR4 2666（笔记本）,￥159,
先锋16GB DDR4 2666（笔记本）,￥499,
先锋8GB DDR4 2666（笔记本）,￥269,
先锋4GB DDR4 2666,￥159,
先锋8GB DDR4 2666,￥269,
精亿DX 8G DDR4 3000,￥185,
精亿8G DDR4 2400 （笔记本）,￥225,
精亿DX 8G DDR4 2400 （笔记本）,￥175,
精亿8G DDR4 2133 （笔记本）,￥225,
精亿8G DDR4 2133,￥149,
精亿8G DDR4 2400,￥149,
精亿DX 8G DDR4 2666 （笔记本）,￥175,
精亿8G DDR4 2666,￥189,
精亿DX 16G DDR4 2666,￥279,
精亿DX 16G DDR4 2400,￥279,
精亿RGB 8G DDR4 2400,￥235,
精亿RGB 8G DDR4 2666,￥235,
精亿RGB 8G DDR4 3000,￥265,
精亿DX 8G DDR4 2400,￥168,
精亿RGB 8G DDR4 3200,￥299,
精亿DX 16G DDR4 3000,￥289,
精亿DX 8G DDR4 3200,￥189,
精亿DX 8G DDR4 2666,￥168,
精亿DX 16G DDR4 3200,￥299,
玖合精工 8GB DDR4 3000,￥235,
玖合精工 16GB DDR4 2666,￥459,
玖合精工 8GB DDR4 2666,￥229,
联想Master大师系列 16GB DDR4 2666,￥439,
玖合精工 16GB DDR4 3000,￥469,
联想Master大师系列 8GB DDR4 2666,￥219,
LANTIC L004L 8GB DDR4 2666,￥332,
LANTIC L004L 4GB DDR4 2666,￥218,
LANTIC L004L 16GB DDR4 2666,￥578,
LANTIC L004 16GB DDR4 2666,￥678,
LANTIC L004 8GB DDR4 2666,￥398,
LANTIC L004 4GB DDR4 2666,￥278,
LANTIC L004L 4GB DDR4 2400,￥208,
LANTIC L004L 8GB DDR4 2400,￥322,
LANTIC L004L 16GB DDR4 2400,￥568,
LANTIC L004 8GB DDR4 2400,￥388,
LANTIC L004 16GB DDR4 2400,￥668,
LANTIC L004 4GB DDR4 2400,￥268,
玖合星辰 32GB DDR4 2666,￥749,
玖合星辰 8GB DDR4 3000,￥249,
玖合星辰 8GB DDR4 3200,￥239,
玖合星辰 32GB DDR4 2400,￥779,
Team 炫光迷彩系列 8GB DDR4 3000,￥259,
Team 炫光迷彩系列 16GB DDR4 3200,￥489,
金邦狂速超频 EVO-POTENZA 16GB DDR4 3200,￥579,
